x,y
25,360
223,724
676,263
86,107
29,578
505,781
198,973
544,350
589,779
6,190
698,194
155,659
336,42
96,907
603,152
729,192
973,463
552,621
618,170
577,138
45,295
289,772
232,920
277,898
364,364
209,629
936,733
609,351
729,828
379,836
639,10
684,443
775,157
32,770
267,684
942,789
314,123
395,344
458,85
246,735
262,438
897,415
219,600
509,2
47,909
627,890
422,207
381,936
529,3
860,28
720,988
536,318
640,733
434,888
953,546
263,124
178,499
870,87
638,701
152,391
539,237
530,221
324,999
929,980
831,121
57,692
946,121
485,914
760,930
128,234
549,524
872,734
211,576
729,460
311,798
649,4
517,561
224,878
588,661
220,769
631,929
905,771
70,140
668,761
132,785
571,64
784,527
190,192
431,903
467,576
673,270
98,15
339,597
248,138
448,809
278,578
923,750
861,556
50,449
836,0
